Entity,Code,Year,Annual CO₂ emissions growth (%)
United States,USA,2007,1.2793779
United States,USA,2008,-3.50734
United States,USA,2009,-7.343775
United States,USA,2010,3.6307216
United States,USA,2011,-2.3522198
United States,USA,2012,-3.642732
United States,USA,2013,2.5461912
United States,USA,2014,0.88545084
United States,USA,2015,-2.753061
United States,USA,2016,-2.2978067
United States,USA,2017,-0.7761359
United States,USA,2018,3.1778574
United States,USA,2019,-2.1505475
United States,USA,2020,-10.404825
United States,USA,2021,6.7361593
